Programme,Niche,Commission,Cookie (jours),Statut,Nb liens placés,Revenus estimés/mois,Lien tableau de bord
Awin,Multi-annonceurs,Variable selon annonceur,30,Validé,0,0€,https://ui.awin.com/
GetYourGuide,Activités & visites,8-10%,90,Validé,3,15-30€,https://partner.getyourguide.com/
Booking.com,Hôtels,25-40% sur marge,30,Validé,5,20-50€,https://account.booking.com/
Rentalcars.com,Location voiture,40-50% sur marge,30,Validé,2,10-20€,https://affiliates.rentalcars.com/
TheFork,Restaurants,5-8€/réservation,30,Validé,2,15-40€,https://module.lafourchette.com/
Trainline,Transport ferroviaire,3%,30,Validé (via Awin),2,5-15€,https://ui.awin.com/
Viator,Activités & excursions,8%,30,À intégrer,1,10-20€,https://www.viator.com/partner/
Treatwell,Spa & bien-être,6-8%,30,À intégrer,1,5-10€,https://business.treatwell.fr/
Wonderbox,Coffrets spa/expérience,8-10%,30,À intégrer,1,5-15€,https://www.wonderbox.fr/affiliate/
Airbnb,Hébergement alternatif,3-5%,28,À intégrer,2,10-20€,https://www.airbnb.fr/associates
Fnac Spectacles,Billetterie spectacles,3-5%,7,À intégrer,1,5-10€,https://www.fnacspectacles.com/affiliate/
Eurostar,Transport international,3-5%,14,À intégrer,1,5-10€,https://affiliate.eurostar.com/
